Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login Request ,3621,362,344,632,12.45,0.000%,20.07740,15.70,4.80,800.6
TOTAL,3621,362,344,632,12.45,0.000%,20.07740,15.70,4.80,800.6
